Date,Name,Year,Letterboxd URI,Rating
2020-10-15,Whiplash,2014,https://boxd.it/7bQA,5
2020-10-15,Your Name.,2016,https://boxd.it/cUqs,5
2020-10-15,Super Deluxe,2019,https://boxd.it/fjRW,5
2020-10-15,The Dark Knight,2008,https://boxd.it/2b0k,5
2020-10-15,Black Panther,2018,https://boxd.it/8MHs,4
2020-10-15,Avengers: Endgame,2019,https://boxd.it/9vE4,4.5
2020-10-15,Spider-Man: Into the Spider-Verse,2018,https://boxd.it/azpY,5
2020-10-15,Get Out,2017,https://boxd.it/eOCm,4
2020-10-15,Parasite,2019,https://boxd.it/hTha,4.5
2020-10-15,Once Upon a Time... in Hollywood,2019,https://boxd.it/gH0O,3
2020-10-15,Joker,2019,https://boxd.it/h4cS,5
2020-10-15,Knives Out,2019,https://boxd.it/jWEA,4
2020-10-15,Jojo Rabbit,2019,https://boxd.it/iEBG,4
2020-10-15,Arrival,2016,https://boxd.it/aNGk,4.5
2020-10-15,Annihilation,2018,https://boxd.it/9yzm,3.5
2020-10-15,Nightcrawler,2014,https://boxd.it/780m,4.5
2020-10-15,John Wick,2014,https://boxd.it/7dEc,4
2020-10-15,Split,2016,https://boxd.it/dgSy,3.5
2020-10-15,Gravity,2013,https://boxd.it/GZY,3.5
2020-10-15,The Dark Knight Rises,2012,https://boxd.it/H3m,4.5
2020-10-15,Shutter Island,2010,https://boxd.it/1U82,4.5
2020-10-15,The Imitation Game,2014,https://boxd.it/6aig,4
2020-10-15,Jurassic World,2015,https://boxd.it/4n0g,3
2020-10-15,The Sixth Sense,1999,https://boxd.it/29Js,4
2020-10-15,Train to Busan,2016,https://boxd.it/dSQU,4.5
2020-10-15,Terminator 2: Judgment Day,1991,https://boxd.it/2aGY,4.5
2020-10-15,The Terminator,1984,https://boxd.it/2aQY,4
2020-10-15,Ocean's Eleven,2001,https://boxd.it/2aZm,4
2020-10-15,The Curious Case of Benjamin Button,2008,https://boxd.it/23Fk,4.5
2020-10-15,The Conjuring,2013,https://boxd.it/4sr2,4
2020-10-15,Now You See Me,2013,https://boxd.it/2Bsu,3.5
2020-10-15,Searching,2018,https://boxd.it/hDPg,3.5
2020-10-15,World War Z,2013,https://boxd.it/2p2E,3.5
2020-10-15,Argo,2012,https://boxd.it/2czU,4
2020-10-15,Rise of the Planet of the Apes,2011,https://boxd.it/cS4,4
2020-10-15,I Am Legend,2007,https://boxd.it/21DG,3.5
2020-10-15,Upgrade,2018,https://boxd.it/i4gW,4
2020-10-15,Happy Death Day,2017,https://boxd.it/fDz4,4
2020-10-15,The Bourne Identity,2002,https://boxd.it/26EO,4
2020-10-15,127 Hours,2010,https://boxd.it/SLa,4
2020-10-15,The Conjuring 2,2016,https://boxd.it/7GJg,3.5
2020-10-15,The Maze Runner,2014,https://boxd.it/5YPM,3.5
2020-10-15,X-Men Origins: Wolverine,2009,https://boxd.it/27ug,3
2020-10-15,Insidious,2010,https://boxd.it/H4k,3.5
2020-10-15,Source Code,2011,https://boxd.it/fdo,3.5
2020-10-15,National Treasure,2004,https://boxd.it/27x0,4
2020-10-15,War of the Worlds,2005,https://boxd.it/2bde,3
2020-10-15,Steins;Gate,2011,https://boxd.it/psNE,5
2020-10-15,Steins;Gate: The Movie - Load Region of Déjà Vu,2013,https://boxd.it/6FF6,4
2020-10-15,Primer,2004,https://boxd.it/6YA,2.5
2020-10-15,Extraction,2020,https://boxd.it/jUjA,3.5
2020-10-15,Elysium,2013,https://boxd.it/2cBm,4
2020-10-15,The Day After Tomorrow,2004,https://boxd.it/2aog,3
2020-10-15,The Visit,2015,https://boxd.it/9ssO,3.5
2020-10-15,Predestination,2014,https://boxd.it/6bJM,3.5
2020-10-15,Fantastic Four: Rise of the Silver Surfer,2007,https://boxd.it/27Ii,2.5
2020-10-15,Following,1998,https://boxd.it/1Tj4,4
2020-10-15,Get Smart,2008,https://boxd.it/1Tig,3
2020-10-15,National Treasure: Book of Secrets,2007,https://boxd.it/21rq,4
2020-10-15,San Andreas,2015,https://boxd.it/7sUa,2.5
2020-10-15,Insurgent,2015,https://boxd.it/7NNa,2.5
2020-10-15,Insidious: Chapter 2,2013,https://boxd.it/3dqc,3
2020-10-15,Cowboys & Aliens,2011,https://boxd.it/F2G,2
2020-10-15,Non-Stop,2014,https://boxd.it/6FtO,3
2020-10-15,The Invisible Guest,2016,https://boxd.it/euce,4
2020-10-15,Evaru,2019,https://boxd.it/mq76,4.5
2020-10-15,9,2009,https://boxd.it/1Scm,4
2020-10-15,Buried,2010,https://boxd.it/1tXC,3.5
2020-10-15,The Incredibles,2004,https://boxd.it/1XLm,4.5
2020-10-15,Princess Mononoke,1997,https://boxd.it/2b4w,4
2020-10-15,The Shawshank Redemption,1994,https://boxd.it/2aHi,5
2020-10-15,Pirates of the Caribbean: The Curse of the Black Pearl,2003,https://boxd.it/70G,4
2020-10-15,Inside Out,2015,https://boxd.it/4KHC,4.5
2020-10-15,WALL·E,2008,https://boxd.it/1VEo,5
2020-10-15,Who Framed Roger Rabbit,1988,https://boxd.it/29ry,4
